Location,Children 0-18,Adults 19-64,65+,65-74,75+,Total
United States,78170100,190717700,44507600,25742000,18765600,313395400
Alabama,1188800,2853600,712900,423900,289000,4755200
Alaska,203500,424000,72400,48200,24100,699900
Arizona,1760400,3907700,986700,558400,428300,6654800
Arkansas,762200,1677700,501100,324200,176900,2941100
California,9671000,23695400,4747900,2729300,2018600,38114300
Colorado,1337900,3302500,653800,335600,318200,5294200
Connecticut,842500,2202200,500800,272700,228100,3545500
Delaware,221800,529100,157000,101700,55300,907900
District of Columbia,120300,450400,80100,44000,36200,650700
Florida,4297800,11813300,3268400,1916300,1352100,19379400
Georgia,2621300,5877600,1288200,874600,413600,9787100
Hawaii,335200,821400,213300,110100,103100,1369900
Idaho,468500,917600,205600,126600,79100,1591700
Illinois,3222500,7963400,1611400,862000,749400,12797300
Indiana,1742100,3730400,931400,573000,358400,6404000
Iowa,760800,1880600,429400,222100,207300,3070800
Kansas,766100,1687400,387100,208300,178800,2840600
Kentucky,1038000,2734600,598700,364100,234600,4371300
Louisiana,1192000,2684000,638800,406200,232600,4514900
Maine,269600,824500,218200,125900,92300,1312200
Maryland,1437700,3645100,862200,529700,332400,5945000
Massachusetts,1528500,4176200,890500,454000,436500,6595300
Michigan,2321900,6079800,1446400,801400,645000,9848100
Minnesota,1385000,3312300,707400,370800,336600,5404600
Mississippi,787400,1743900,388700,205600,183100,2920000
Missouri,1475600,3525700,1003800,528700,475100,6005100
Montana,256900,591900,153500,93100,60400,1002200
Nebraska,485200,1088000,271600,163800,107800,1844800
Nevada,724800,1648800,386900,209400,177400,2760400
New Hampshire,292000,824800,200900,125400,75500,1317700
New Jersey,2178400,5460700,1210100,675200,534900,8849300
New Mexico,545800,1195100,359000,198000,161100,2100000
New York,4469400,12159800,2888800,1566300,1322500,19518100
North Carolina,2405400,5815900,1417500,858300,559200,9638800
North Dakota,174300,453200,83800,44700,39100,711300
Ohio,2741100,6853900,1882300,1005700,876600,11477300
Oklahoma,1008000,2186400,528000,305600,222400,3722400
Oregon,900100,2396500,644700,375200,269500,3941300
Pennsylvania,2865300,7816800,2077100,1155200,921900,12759200
Rhode Island,230200,649000,169200,87600,81600,1048300
South Carolina,1133600,2755900,794400,525300,269100,4683900
South Dakota,215000,493700,127100,59900,67200,835800
Tennessee,1592300,3916600,946700,565500,381200,6455600
Texas,7477900,15943700,3000900,1844000,1156900,26422500
Utah,923000,1634100,321200,193300,127900,2878200
Vermont,130300,376300,113500,68000,45500,620000
Virginia,2003000,5044200,1133400,675000,458400,8180700
Washington,1700600,4150000,1011800,621800,390000,6862300
West Virginia,405900,1108300,318300,219000,99300,1832500
Wisconsin,1408600,3334200,889400,544900,344500,5632100
Wyoming,144500,359600,75500,44500,30900,579600
